"arrest_key","arrest_date","pd_cd","pd_desc","ky_cd","ofns_desc","law_code","law_cat_cd","arrest_boro","arrest_precinct","jurisdiction_code","age_group","perp_sex","perp_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"261265483","2023-01-03T00:00:00.000","397","ROBBERY,OPEN AREA UNCLASSIFIED","105","ROBBERY","PL 1600500","F","B","49","0","18-24","M","BLACK","1027430","251104","40.855793","-73.843908","POINT (-73.843908 40.855793)"
"261271301","2023-01-03T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","S","120","0","25-44","M","WHITE","962808","174275","40.644996","-74.077263","POINT (-74.077263 40.644996)"
"261336449","2023-01-04T00:00:00.000","397","ROBBERY,OPEN AREA UNCLASSIFIED","105","ROBBERY","PL 1601001","F","K","61","0","<18","M","BLACK","995118","155708","40.594054","-73.960866","POINT (-73.960866 40.594054)"
"261328047","2023-01-04T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","Q","114","0","18-24","M","BLACK","1007694","219656","40.769552","-73.915361","POINT (-73.915361 40.769552)"
"261417496","2023-01-05T00:00:00.000","244","BURGLARY,UNCLASSIFIED,UNKNOWN","107","BURGLARY","PL 1402000","F","B","44","0","25-44","F","BLACK","1007174","239542","40.824135","-73.91717","POINT (-73.91717 40.824135)"
"261583093","2023-01-08T00:00:00.000","109","ASSAULT 2,1,UNCLASSIFIED","106","FELONY ASSAULT","PL 1200502","F","K","76","0","25-44","M","BLACK","984110","188363","40.683691","-74.000504","POINT (-74.000504 40.683691)"
"261611504","2023-01-09T00:00:00.000","263","ARSON 2,3,4","114","ARSON","PL 1501500","F","B","49","71","25-44","M","WHITE","1028555","246897","40.84424","-73.839868","POINT (-73.839868 40.84424)"
"261892107","2023-01-14T00:00:00.000","109","ASSAULT 2,1,UNCLASSIFIED","106","FELONY ASSAULT","PL 1200501","F","K","90","0","25-44","M","BLACK","996541","199439","40.714082","-73.955662","POINT (-73.955662 40.714082)"
"261926460","2023-01-14T00:00:00.000","263","ARSON 2,3,4","114","ARSON","PL 1501001","F","K","63","0","25-44","M","BLACK","1000520","168264","40.628508","-73.941384","POINT (-73.941384 40.628508)"
"262973934","2023-02-03T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","M","34","0","25-44","M","BLACK","1003818","253167","40.861538","-73.929256","POINT (-73.929256 40.861538)"
